# freq	per	pow	amp
 1.0000000000000001E-001	 1.0000000000000000E+001	 1.6462960207715847E+000	 3.1058242920042209E-002
 1.0005000000000000E-001	 9.9950024987506243E+000	 1.7096194307159553E+000	 3.1624021913023007E-002
 1.0009999999999999E-001	 9.9900099900099910E+000	 1.7730335474221723E+000	 3.2178684319430030E-002
 1.0014999999999999E-001	 9.9850224663005509E+000	 1.8364712883029262E+000	 3.2722298187931272E-002
 1.0019999999999998E-001	 9.9800399201596814E+000	 1.8998679972256654E+000	 3.3254950610629552E-002
 1.0024999999999998E-001	 9.9750623441396531E+000	 1.9631614991924351E+000	 3.3776745637717424E-002
 1.0029999999999997E-001	 9.9700897308075795E+000	 2.0262921337280124E+000	 3.4287802264366153E-002
 1.0034999999999997E-001	 9.9651220727453946E+000	 2.0892027717016597E+000	 3.4788252524531618E-002
 1.0039999999999996E-001	 9.9601593625498044E+000	 2.1518388139553615E+000	 3.5278239663733682E-002
 1.0044999999999996E-001	 9.9552015928322586E+000	 2.2141481790637809E+000	 3.5757916446262049E-002
 1.0049999999999995E-001	 9.9502487562189099E+000	 2.2760812712029250E+000	 3.6227443501042234E-002
 1.0054999999999994E-001	 9.9453008453505767E+000	 2.3375909433858535E+000	 3.6686987821627777E-002
 1.0059999999999994E-001	 9.9403578528827090E+000	 2.3986324469844584E+000	 3.7136721324014028E-002
 1.0064999999999993E-001	 9.9354197714853516E+000	 2.4591633720682817E+000	 3.7576819485777853E-002
 1.0069999999999993E-001	 9.9304865938431046E+000	 2.5191435843403736E+000	 3.8007460091009561E-002
 1.0074999999999992E-001	 9.9255583126550952E+000	 2.5785351519107351E+000	 3.8428822016933699E-002
 1.0079999999999992E-001	 9.9206349206349280E+000	 2.6373022691886265E+000	 3.8841084094834229E-002
 1.0084999999999991E-001	 9.9157164105106688E+000	 2.6954111785301764E+000	 3.9244424044473300E-002
 1.0089999999999991E-001	 9.9108027750247860E+000	 2.7528300877485674E+000	 3.9639017446688893E-002
 1.0094999999999990E-001	 9.9058940069341350E+000	 2.8095290867751377E+000	 4.0025036774079710E-002
 1.0099999999999990E-001	 9.9009900990099116E+000	 2.8654800666144373E+000	 4.0402650490120713E-002
 1.0104999999999989E-001	 9.8960910440376164E+000	 2.9206566367050693E+000	 4.0772022181074237E-002
 1.0109999999999988E-001	 9.8911968348170234E+000	 2.9750340439459713E+000	 4.1133309743279778E-002
 1.0114999999999988E-001	 9.8863074641621473E+000	 3.0285890992380766E+000	 4.1486664660119354E-002
 1.0119999999999987E-001	 9.8814229249011980E+000	 3.0813001042723163E+000	 4.1832231317390285E-002
 1.0124999999999987E-001	 9.8765432098765569E+000	 3.1331467837240936E+000	 4.2170146397610082E-002
 1.0129999999999986E-001	 9.8716683119447328E+000	 3.1841102281971825E+000	 4.2500538389342618E-002
