# freq	per	pow	amp
 1.9831097919030000E-003	 5.0425851563185313E+002	 2.9102533550169642E+000	 5.3656114675978868E-002
 3.3051829865050003E-003	 3.0255510937911185E+002	 2.3549128178053667E+000	 4.0493705923917440E-002
 4.6272561811070007E-003	 2.1611079241365132E+002	 7.5778198969562816E-001	 2.3522351454551543E-002
 5.9493293757090010E-003	 1.6808617187728436E+002	 2.5489914193135864E-002	 4.0996493689981770E-003
 7.2714025703110013E-003	 1.3752504971777810E+002	 6.2514898107553241E-001	 1.9670702795571669E-002
 8.5934757649130007E-003	 1.1636734976119688E+002	 4.7542195729472236E-001	 1.6492915208877641E-002
 9.9155489595150002E-003	 1.0085170312637064E+002	 1.0658853915870473E-002	 2.4568894649840741E-003
 1.1237622154117000E-002	 8.8986796876209382E+001	 1.8222608288876702E-001	 1.0018624371770774E-002
 1.2559695348718999E-002	 7.9619765626082085E+001	 1.7133138197163431E-001	 9.6504702544052568E-003
 1.3881768543320998E-002	 7.2036930804550465E+001	 2.8669069109358641E-001	 1.3061627221873550E-002
 1.5203841737922998E-002	 6.5772849865024341E+001	 1.6371101081409918E+000	 3.0636624709796348E-002
 1.6525914932524997E-002	 6.0511021875822387E+001	 2.5989444618724953E+000	 3.8472210730436850E-002
 1.7847988127126999E-002	 5.6028723959094798E+001	 1.9530814405915631E+000	 3.4568949967672180E-002
 1.9170061321729000E-002	 5.2164674030881365E+001	 9.4002538391246160E-001	 2.4203752322532576E-002
 2.0492134516331001E-002	 4.8799211190179335E+001	 5.7985893490833818E-001	 1.8838573557982706E-002
 2.1814207710933002E-002	 4.5841683239259375E+001	 1.7818848878507829E-001	 1.0151437001562898E-002
 2.3136280905535003E-002	 4.3222158482730265E+001	 2.1836094666873970E-001	 1.1382521332181098E-002
 2.4458354100137004E-002	 4.0885825591771869E+001	 8.6875645620888908E-001	 2.2773896804218555E-002
 2.5780427294739006E-002	 3.8789116587065621E+001	 9.0013322463400092E-001	 2.3628182379676798E-002
 2.7102500489341007E-002	 3.6896964558428273E+001	 2.1396700115955497E-001	 1.1498791405817190E-002
 2.8424573683943008E-002	 3.5180826671989749E+001	 3.4885555110622440E-002	 4.4303901344808824E-003
 2.9746646878545009E-002	 3.3617234375456867E+001	 3.0501900437850626E-001	 1.3002483657023061E-002
 3.1068720073147010E-002	 3.2186713763735298E+001	 4.1104429934691789E-001	 1.5418750422073000E-002
 3.2390793267749012E-002	 3.0872970344807324E+001	 2.5094117042487329E-001	 1.1880158171682417E-002
 3.3712866462351013E-002	 2.9662265625403116E+001	 7.3186727573893759E-002	 6.6991271072092259E-003
 3.5034939656953014E-002	 2.8542934847086016E+001	 2.7678654688833570E-002	 3.9386010725228314E-003
 3.6357012851555015E-002	 2.7505009943555617E+001	 5.2745874031641182E-001	 1.8169600742755924E-002
 3.7679086046157016E-002	 2.6539921875360683E+001	 1.5515868739887582E+000	 3.1065610379142791E-002
 3.9001159240759017E-002	 2.5640263506704386E+001	 2.1201586843718898E+000	 3.6324316336391729E-002
 4.0323232435361019E-002	 2.4799599129435389E+001	 1.5980205469975475E+000	 3.1636267361291881E-002
 4.1645305629963020E-002	 2.4012310268183473E+001	 7.2060082930442337E-001	 2.0937099485089716E-002
