2460375.95833	4.4			Vis.	EMAC		34	44	X36127AM		No		G				eta Aql		STD					
2460381.825	3.9			Vis.	AAX		37	40	ATLAS		No		G				ETA AQL		STD					
2460382.829	4.0			Vis.	AAX		37	40	ATLAS		No		G				ETA AQL		STD					
2460383.851	3.8			Vis.	AAX		37	40	ATLAS		No		G				ETA AQL		STD					
2460386.6771	4.0			Vis.	SPAO		34	47	X25625YU		No		G				ETA Aql		STD					
2460386.835	3.6			Vis.	AAX		33	37	ATLAS		No		G				ETA AQL		STD					
2460389.847	4.0			Vis.	AAX		37	40	ATLAS		No		G				ETA AQL		STD					
2460396.808	4.2			Vis.	AAX	B	40	44	ATLAS	MOON	No		G				ETA AQL		STD					
2460400.826	3.5			Vis.	AAX	B	33	37	ATLAS	MOON	No		G				ETA AQL		STD					
2460402.3104	3.2			Vis.	CME		30	34	12611AYJ	BIN. 7x50	No		G				ETA AQL		STD					
2460402.7799	3.7			Vis.	AAX		33	37	ATLAS		No		G				ETA AQL		STD					
2460403.859	4.0			Vis.	AAX		37	40	ATLAS		No		G				ETA AQL		STD					
2460406.825	3.5			Vis.	AAX		33	37	ATLAS		No		G				ETA AQL		STD					
2460409.8222	3.7			Vis.	AAX		33	37	ATLAS		No		G				ETA AQL		STD					
2460410.8354	3.9			Vis.	AAX		37	40	ATLAS		No		G				ETA AQL		STD					
2460413.548	3.6			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460414.52	3.5			Vis.	MQA	U	3.7		AAVSO		No		G				ETA AQL		STD					
2460416.52	3.6			Vis.	MQA		3.7		AAVSO		No		G				ETA AQL		STD					
2460418.8556	4.1			Vis.	AAX		40	44	ATLAS		No		G				ETA AQL		STD					
2460419.8361	4.1			Vis.	AAX		40	44	ATLAS		No		G				ETA AQL		STD					
2460420.834	3.5			Vis.	AAX		33	37	ATLAS		No		G				ETA AQL		STD					
2460422.527	3.5			Vis.	MQA	B	3.7		AAVSO		No		G				ETA AQL		STD					
2460422.8514	3.7			Vis.	AAX		33	37	ATLAS		No		G				ETA AQL		STD					
2460424.8417	4.1			Vis.	AAX	B	40	44	ATLAS	MOON	No		G				ETA AQL		STD					
2460425.6431	4.1			Vis.	SPAO		34	47	X25625YU		No		G				ETA Aql		STD					
